from,to,value
MeV.Fib.3,Imm.MHCII.0,16
MeV.FibUnknown.6,MeV.LowQuality.0,16
MeV.Epithelial.0,Neu.Epend.0,15
MeV.FibCollagen.3,Imm.DAM.1,15
MeV.Epithelial.0,MeV.SMC.0,15
MeV.Fib.0,Imm.DAM.1,15
MeV.Fib.0,MeV.VLMC.1,15
MeV.Fib.4,MeV.Pericytes.0,15
MeV.Fib.4,MeV.VLMC.1,15
MeV.Fib.0,MeV.Endothelial.2,15
MeV.FibCollagen.3,MeV.Endothelial.2,15
MeV.VLMC.1,MeV.Fib.3,15
MeV.SMC.0,MeV.VLMC.0,15
MeV.Epithelial.0,MeV.VLMC.1,15
MeV.Fib.3,MeV.FibUnknown.6,15
MeV.FibLaminin.0,MeV.FibUnknown.6,15
MeV.Fib.2,Neu.CSFcN.0,15
MeV.ImmuneDoublets.0,Imm.M0Like.0,15
Neu.CSFcN.0,MeV.Fib.0,15
Neu.Epend.0,MeV.FibCollagen.1,15
MeV.FibUnknown.6,MeV.Endothelial.2,15
Neu.Epend.0,MeV.Epithelial.0,15
MeV.Fib.3,MeV.Fib.2,15
MeV.Fib.3,MeV.Fib.5,15
MeV.Fib.0,MeV.FibCollagen.3,15
MeV.ImmuneDoublets.0,MeV.Epithelial.0,15
MeV.SMC.0,MeV.FibCollagen.3,15
MeV.FibCollagen.1,MeV.FibCollagen.0,15
MeV.FibCollagen.2,MeV.FibCollagen.0,15
MeV.Endothelial.2,MeV.FibLaminin.0,14
MeV.Endothelial.2,Neu.Epend.0,14
Neu.CSFcN.0,Neu.Epend.0,14
MeV.Endothelial.2,MeV.FibCollagen.1,14
Neu.Epend.0,MeV.VLMC.1,14
MeV.Epithelial.0,MeV.FibCollagen.0,14
MeV.FibProlif.0,MeV.SMC.0,14
MeV.VLMC.1,MeV.Fib.4,14
MeV.Fib.0,MeV.Fib.4,14
MeV.FibLaminin.0,MeV.ImmuneDoublets.0,14
MeV.FibLaminin.0,MeV.SMC.0,14
MeV.Fib.4,Imm.M0Like.0,14
Imm.M0Like.0,MeV.FibCollagen.3,14
MeV.FibUnknown.6,MeV.FibProlif.0,14
MeV.Fib.3,MeV.Endothelial.0,14
MeV.FibCollagen.3,Imm.M0Like.0,14
MeV.FibLaminin.0,MeV.Pericytes.0,14
MeV.FibUnknown.6,Imm.Interferon.0,14
MeV.ImmuneDoublets.0,Imm.M0Like.2,14
MeV.LowQuality.0,MeV.Fib.0,14
Neu.CSFcN.0,Imm.Interferon.0,14
Neu.CSFcN.0,MeV.FibLaminin.0,14
MeV.Fib.4,MeV.FibCollagen.1,14
Imm.M0Like.1,Neu.Epend.0,14
MeV.FibUnknown.6,MeV.Fib.2,14
Neu.CSFcN.0,Imm.M0Like.1,14
MeV.Endothelial.2,Imm.M0Like.0,13
MeV.VLMC.0,Neu.Epend.0,13
MeV.Endothelial.0,MeV.FibCollagen.1,13
MeV.Endothelial.3,MeV.FibCollagen.1,13
Imm.M0Like.0,MeV.VLMC.1,13
MeV.VLMC.0,MeV.Fib.1,13
MeV.VLMC.0,MeV.ImmuneDoublets.0,13
MeV.VLMC.1,Imm.DAM.1,13
MeV.Fib.1,MeV.Fib.4,13
MeV.Fib.5,MeV.VLMC.1,13
MeV.FibCollagen.0,MeV.Fib.4,13
MeV.FibLaminin.0,Imm.Interferon.0,13
MeV.FibLaminin.0,MeV.Endothelial.0,13
MeV.FibUnknown.6,MeV.SMC.0,13
MeV.FibCollagen.0,MeV.Endothelial.0,13
MeV.Fib.4,MeV.Epithelial.0,13
MeV.Fib.4,MeV.FibLaminin.0,13
MeV.FibCollagen.3,MeV.Endothelial.0,13
