from,to,value
MeV.Fib.1,MeV.SMC.0,10
MeV.Fib.2,Imm.PVM.0,8
MeV.Fib.2,MeV.Endothelial.2,8
MeV.Fib.2,MeV.FibLaminin.0,8
MeV.Fib.2,MeV.ImmuneDoublets.0,13
MeV.Fib.2,MeV.SMC.0,6
MeV.Fib.2,MeV.VLMC.1,12
MeV.Fib.5,Imm.PVM.0,13
MeV.Fib.5,MeV.Endothelial.2,7
MeV.Fib.5,MeV.FibLaminin.0,13
MeV.Fib.5,MeV.ImmuneDoublets.0,16
MeV.Fib.5,MeV.SMC.0,16
MeV.Fib.5,MeV.VLMC.1,16
MeV.FibCollagen.0,Imm.PVM.0,13
MeV.FibCollagen.0,MeV.Endothelial.2,6
MeV.FibCollagen.0,MeV.FibLaminin.0,9
MeV.FibCollagen.0,MeV.ImmuneDoublets.0,16
MeV.FibCollagen.0,MeV.SMC.0,2
MeV.FibCollagen.0,MeV.VLMC.1,17
MeV.FibCollagen.3,Imm.PVM.0,13
MeV.FibCollagen.3,MeV.Endothelial.2,8
MeV.FibCollagen.3,MeV.FibLaminin.0,9
MeV.FibCollagen.3,MeV.ImmuneDoublets.0,17
MeV.FibCollagen.3,MeV.SMC.0,9
MeV.FibCollagen.3,MeV.VLMC.1,18
MeV.FibLaminin.0,Imm.PVM.0,6
MeV.FibLaminin.0,MeV.Endothelial.0,4
MeV.FibLaminin.0,MeV.Endothelial.2,5
MeV.FibLaminin.0,MeV.FibLaminin.0,8
MeV.FibLaminin.0,MeV.ImmuneDoublets.0,15
MeV.FibLaminin.0,MeV.SMC.0,12
MeV.FibLaminin.0,MeV.VLMC.1,17
MeV.FibProlif.0,Imm.PVM.0,8
MeV.FibProlif.0,MeV.Endothelial.2,4
MeV.FibProlif.0,MeV.FibLaminin.0,3
MeV.FibProlif.0,MeV.ImmuneDoublets.0,10
MeV.FibProlif.0,MeV.SMC.0,12
MeV.FibProlif.0,MeV.VLMC.1,12
MeV.FibUnknown.6,MeV.SMC.0,13
MeV.Fib.1,MeV.FibCollagen.1,11
MeV.Fib.5,MeV.Endothelial.0,5
MeV.Fib.5,MeV.FibCollagen.1,15
MeV.Fib.5,MeV.FibCollagen.3,17
Imm.Proliferative.0,MeV.FibCollagen.1,1
MeV.FibCollagen.3,MeV.FibCollagen.1,12
MeV.FibProlif.0,MeV.FibCollagen.1,9
MeV.Fib.4,Imm.Interferon.0,6
MeV.Fib.4,MeV.FibCollagen.3,14
MeV.Fib.4,MeV.FibProlif.0,11
MeV.Fib.4,MeV.ImmuneDoublets.0,13
MeV.Fib.4,MeV.SMC.0,10
MeV.Endothelial.3,MeV.Endothelial.1,4
MeV.Epithelial.0,MeV.Endothelial.1,4
MeV.Fib.2,MeV.Endothelial.1,11
MeV.FibCollagen.0,MeV.Endothelial.1,9
MeV.FibCollagen.1,MeV.Endothelial.1,7
MeV.FibCollagen.2,MeV.Endothelial.1,6
MeV.FibCollagen.2,MeV.Endothelial.2,5
MeV.FibCollagen.3,MeV.Endothelial.0,4
MeV.FibCollagen.3,MeV.Endothelial.1,9
MeV.FibCollagen.3,MeV.Endothelial.3,6
MeV.FibProlif.0,MeV.Endothelial.0,7
MeV.FibProlif.0,MeV.Endothelial.1,7
MeV.FibProlif.0,MeV.Endothelial.3,11
MeV.ImmuneDoublets.0,MeV.Endothelial.1,5
MeV.SMC.0,MeV.Endothelial.1,4
MeV.VLMC.0,MeV.Endothelial.0,3
MeV.VLMC.0,MeV.Endothelial.1,7
MeV.VLMC.0,MeV.Endothelial.3,7
MeV.FibCollagen.1,MeV.Fib.1,18
MeV.FibCollagen.1,MeV.Fib.2,7
MeV.FibCollagen.1,MeV.Fib.3,6
MeV.FibCollagen.1,MeV.Fib.4,8
MeV.FibCollagen.1,MeV.FibCollagen.0,6
MeV.FibCollagen.1,MeV.FibCollagen.1,6
MeV.FibCollagen.1,MeV.FibCollagen.2,4
MeV.FibCollagen.1,MeV.FibCollagen.3,18
MeV.FibCollagen.1,MeV.VLMC.0,7
MeV.FibCollagen.2,MeV.Fib.1,21
MeV.FibCollagen.2,MeV.FibCollagen.1,11
MeV.FibCollagen.0,MeV.Fib.1,15
MeV.FibCollagen.0,MeV.FibCollagen.1,8
MeV.FibCollagen.3,MeV.Fib.1,10
MeV.FibCollagen.3,MeV.Fib.2,3
MeV.FibCollagen.3,MeV.Fib.3,6
MeV.FibCollagen.3,MeV.Fib.4,11
MeV.FibCollagen.3,MeV.FibCollagen.0,3
MeV.FibCollagen.3,MeV.FibCollagen.2,4
MeV.FibCollagen.3,MeV.VLMC.0,7
MeV.Fib.0,Imm.Proliferative.0,5
MeV.Fib.1,Imm.Proliferative.0,6
MeV.Fib.2,Imm.Proliferative.0,5
MeV.Fib.5,Imm.Proliferative.0,2
MeV.FibCollagen.0,Imm.Proliferative.0,5
MeV.FibCollagen.1,MeV.Pericytes.0,17
MeV.FibCollagen.3,Imm.Proliferative.0,4
MeV.FibLaminin.0,Imm.Proliferative.0,5
MeV.FibProlif.0,Imm.Proliferative.0,1
MeV.LowQuality.0,MeV.Pericytes.0,17
MeV.FibCollagen.1,Imm.Proliferative.0,3
MeV.SMC.0,MeV.Pericytes.0,4
MeV.Epithelial.0,MeV.Epithelial.0,18
MeV.Epithelial.0,MeV.Fib.0,9
MeV.Epithelial.0,MeV.Fib.1,12
MeV.Epithelial.0,MeV.Fib.2,7
MeV.Epithelial.0,MeV.Fib.3,8
MeV.Epithelial.0,MeV.Fib.4,9
MeV.Epithelial.0,MeV.Fib.5,7
MeV.Epithelial.0,MeV.FibCollagen.0,9
MeV.Epithelial.0,MeV.FibCollagen.2,6
MeV.Epithelial.0,MeV.FibProlif.0,14
MeV.Epithelial.0,MeV.Pericytes.0,17
MeV.Epithelial.0,MeV.VLMC.0,6
MeV.FibCollagen.2,MeV.Epithelial.0,12
MeV.FibCollagen.2,MeV.Fib.0,7
MeV.FibCollagen.2,MeV.Fib.2,8
MeV.FibCollagen.2,MeV.Fib.5,7
MeV.FibCollagen.2,MeV.FibCollagen.0,6
MeV.FibCollagen.2,MeV.FibCollagen.2,3
MeV.FibCollagen.2,MeV.FibProlif.0,17
MeV.FibCollagen.2,MeV.VLMC.0,8
MeV.FibCollagen.2,Neu.CSFcN.0,11
MeV.VLMC.0,MeV.FibCollagen.1,17
MeV.VLMC.0,MeV.Pericytes.0,10
MeV.Fib.3,MeV.FibCollagen.1,11
MeV.Fib.3,MeV.Pericytes.0,12
MeV.VLMC.0,MeV.FibProlif.0,20
MeV.Fib.0,MeV.FibCollagen.1,9
MeV.Fib.0,MeV.Pericytes.0,13
MeV.Fib.1,MeV.Pericytes.0,10
MeV.Fib.2,MeV.FibCollagen.1,10
MeV.Fib.2,MeV.Pericytes.0,12
MeV.Fib.5,MeV.Pericytes.0,16
MeV.FibCollagen.0,MeV.Pericytes.0,9
MeV.FibCollagen.3,MeV.Pericytes.0,12
MeV.FibLaminin.0,MeV.Epithelial.0,14
MeV.FibLaminin.0,MeV.Fib.0,12
MeV.FibLaminin.0,MeV.Fib.1,15
MeV.FibLaminin.0,MeV.Fib.2,11
MeV.FibLaminin.0,MeV.Fib.3,13
MeV.FibLaminin.0,MeV.Fib.4,6
MeV.FibLaminin.0,MeV.Fib.5,7
MeV.FibLaminin.0,MeV.FibCollagen.0,8
MeV.FibLaminin.0,MeV.FibCollagen.1,14
MeV.FibLaminin.0,MeV.FibCollagen.2,5
MeV.FibLaminin.0,MeV.FibCollagen.3,14
MeV.FibLaminin.0,MeV.FibProlif.0,16
MeV.FibLaminin.0,MeV.Pericytes.0,7
MeV.FibLaminin.0,MeV.VLMC.0,5
MeV.FibLaminin.0,Neu.CSFcN.0,13
MeV.FibProlif.0,MeV.FibProlif.0,8
MeV.FibProlif.0,MeV.Pericytes.0,14
MeV.FibUnknown.6,MeV.FibProlif.0,11
MeV.ImmuneDoublets.0,MeV.FibCollagen.2,3
MeV.Fib.1,MeV.Epithelial.0,16
MeV.Fib.1,MeV.Fib.0,4
MeV.Fib.1,MeV.Fib.1,11
MeV.Fib.1,MeV.Fib.4,7
MeV.Fib.1,MeV.Fib.5,4
MeV.Fib.1,MeV.FibCollagen.0,7
MeV.Fib.1,MeV.FibCollagen.2,6
MeV.Fib.1,MeV.FibProlif.0,15
MeV.Fib.5,MeV.Epithelial.0,15
MeV.Fib.5,MeV.Fib.0,13
MeV.Fib.5,MeV.Fib.1,12
MeV.Fib.5,MeV.Fib.2,11
MeV.Fib.5,MeV.Fib.3,15
MeV.Fib.5,MeV.Fib.4,9
MeV.Fib.5,MeV.Fib.5,6
MeV.Fib.5,MeV.FibCollagen.0,7
MeV.Fib.5,MeV.FibCollagen.2,6
MeV.Fib.5,MeV.FibProlif.0,15
MeV.Fib.5,MeV.VLMC.0,5
MeV.FibCollagen.3,MeV.FibProlif.0,17
MeV.FibCollagen.2,Imm.PVM.0,8
MeV.FibCollagen.2,MeV.FibLaminin.0,7
MeV.FibCollagen.2,MeV.SMC.0,12
MeV.VLMC.0,Neu.CSFcN.0,6
MeV.Epithelial.0,MeV.ImmuneDoublets.0,9
MeV.Fib.3,MeV.FibProlif.0,15
MeV.Fib.3,Neu.CSFcN.0,15
MeV.Fib.0,MeV.FibProlif.0,12
MeV.Fib.2,MeV.FibProlif.0,11
MeV.Fib.2,Neu.CSFcN.0,18
MeV.FibCollagen.0,MeV.FibProlif.0,17
MeV.FibCollagen.3,Neu.CSFcN.0,12
