from,to,value
MeV.ImmuneDoublets.0,Imm.DAM.1,11
MeV.ImmuneDoublets.0,Imm.Proliferative.0,4
MeV.ImmuneDoublets.0,Neu.CSFcN.0,59
MeV.ImmuneDoublets.0,Neu.Epend.0,48
MeV.ImmuneDoublets.0,MeV.Epithelial.0,17
MeV.ImmuneDoublets.0,MeV.Pericytes.0,16
MeV.ImmuneDoublets.0,MeV.Endothelial.0,12
MeV.ImmuneDoublets.0,MeV.SMC.0,17
MeV.ImmuneDoublets.0,MeV.FibCollagen.1,17
MeV.ImmuneDoublets.0,MeV.Fib.5,19
MeV.ImmuneDoublets.0,MeV.Fib.4,21
MeV.ImmuneDoublets.0,MeV.FibProlif.0,16
MeV.ImmuneDoublets.0,MeV.Endothelial.3,17
MeV.ImmuneDoublets.0,MeV.FibCollagen.2,25
MeV.ImmuneDoublets.0,MeV.VLMC.1,31
MeV.ImmuneDoublets.0,MeV.FibLaminin.0,20
MeV.ImmuneDoublets.0,MeV.VLMC.0,29
MeV.ImmuneDoublets.0,MeV.Fib.3,14
MeV.ImmuneDoublets.0,MeV.FibUnknown.6,14
MeV.ImmuneDoublets.0,MeV.LowQuality.0,15
MeV.ImmuneDoublets.0,Imm.M0Like.0,22
MeV.ImmuneDoublets.0,MeV.Endothelial.1,12
MeV.ImmuneDoublets.0,MeV.Fib.2,18
MeV.ImmuneDoublets.0,MeV.FibCollagen.0,23
MeV.ImmuneDoublets.0,MeV.Fib.0,17
MeV.ImmuneDoublets.0,MeV.Fib.1,24
MeV.ImmuneDoublets.0,MeV.Endothelial.2,14
MeV.ImmuneDoublets.0,MeV.FibCollagen.3,24
Imm.PVM.0,Imm.M0Like.1,11
Imm.PVM.0,Imm.M0Like.2,12
Imm.PVM.0,Imm.DAM.0,10
Imm.PVM.0,Imm.MHCII.0,9
Imm.PVM.0,Imm.Interferon.0,11
Imm.PVM.0,MeV.ImmuneDoublets.0,8
Imm.PVM.0,Imm.PVM.0,4
Imm.PVM.0,Imm.DAM.1,14
Imm.PVM.0,Imm.Proliferative.0,3
Imm.PVM.0,Neu.CSFcN.0,51
Imm.PVM.0,Neu.Epend.0,39
Imm.PVM.0,MeV.Epithelial.0,16
Imm.PVM.0,MeV.Pericytes.0,20
Imm.PVM.0,MeV.Endothelial.0,17
Imm.PVM.0,MeV.SMC.0,5
Imm.PVM.0,MeV.FibCollagen.1,6
Imm.PVM.0,MeV.Fib.5,14
Imm.PVM.0,MeV.Fib.4,18
Imm.PVM.0,MeV.FibProlif.0,8
Imm.PVM.0,MeV.Endothelial.3,16
Imm.PVM.0,MeV.FibCollagen.2,12
Imm.PVM.0,MeV.VLMC.1,19
Imm.PVM.0,MeV.FibLaminin.0,18
Imm.PVM.0,MeV.VLMC.0,24
Imm.PVM.0,MeV.Fib.3,18
Imm.PVM.0,MeV.FibUnknown.6,21
Imm.PVM.0,MeV.LowQuality.0,19
Imm.PVM.0,Imm.M0Like.0,30
Imm.PVM.0,MeV.Endothelial.1,21
Imm.PVM.0,MeV.Fib.2,13
Imm.PVM.0,MeV.FibCollagen.0,16
Imm.PVM.0,MeV.Fib.0,13
Imm.PVM.0,MeV.Fib.1,20
Imm.PVM.0,MeV.Endothelial.2,16
Imm.PVM.0,MeV.FibCollagen.3,15
Imm.DAM.1,Imm.M0Like.1,10
Imm.DAM.1,Imm.M0Like.2,15
Imm.DAM.1,Imm.DAM.0,12
Imm.DAM.1,Imm.MHCII.0,7
Imm.DAM.1,Imm.Interferon.0,10
Imm.DAM.1,MeV.ImmuneDoublets.0,11
Imm.DAM.1,Imm.PVM.0,14
Imm.DAM.1,Imm.DAM.1,7
Imm.DAM.1,Imm.Proliferative.0,7
Imm.DAM.1,Neu.CSFcN.0,35
Imm.DAM.1,Neu.Epend.0,28
Imm.DAM.1,MeV.Epithelial.0,18
Imm.DAM.1,MeV.Pericytes.0,14
Imm.DAM.1,MeV.Endothelial.0,21
Imm.DAM.1,MeV.SMC.0,7
Imm.DAM.1,MeV.FibCollagen.1,7
Imm.DAM.1,MeV.Fib.5,8
Imm.DAM.1,MeV.Fib.4,18
Imm.DAM.1,MeV.FibProlif.0,5
Imm.DAM.1,MeV.Endothelial.3,18
Imm.DAM.1,MeV.FibCollagen.2,21
Imm.DAM.1,MeV.VLMC.1,24
Imm.DAM.1,MeV.FibLaminin.0,13
Imm.DAM.1,MeV.VLMC.0,20
Imm.DAM.1,MeV.Fib.3,17
Imm.DAM.1,MeV.FibUnknown.6,17
Imm.DAM.1,MeV.LowQuality.0,13
Imm.DAM.1,Imm.M0Like.0,20
Imm.DAM.1,MeV.Endothelial.1,18
Imm.DAM.1,MeV.Fib.2,12
Imm.DAM.1,MeV.FibCollagen.0,20
Imm.DAM.1,MeV.Fib.0,12
Imm.DAM.1,MeV.Fib.1,19
Imm.DAM.1,MeV.Endothelial.2,17
Imm.DAM.1,MeV.FibCollagen.3,13
Imm.Proliferative.0,Imm.M0Like.1,5
Imm.Proliferative.0,Imm.M0Like.2,5
Imm.Proliferative.0,Imm.DAM.0,5
Imm.Proliferative.0,Imm.MHCII.0,6
Imm.Proliferative.0,Imm.Interferon.0,3
Imm.Proliferative.0,MeV.ImmuneDoublets.0,4
Imm.Proliferative.0,Imm.PVM.0,3
Imm.Proliferative.0,Imm.DAM.1,7
Imm.Proliferative.0,Imm.Proliferative.0,2
Imm.Proliferative.0,Neu.CSFcN.0,20
Imm.Proliferative.0,Neu.Epend.0,18
Imm.Proliferative.0,MeV.Epithelial.0,5
Imm.Proliferative.0,MeV.Pericytes.0,5
Imm.Proliferative.0,MeV.Endothelial.0,5
Imm.Proliferative.0,MeV.SMC.0,2
Imm.Proliferative.0,MeV.FibCollagen.1,5
Imm.Proliferative.0,MeV.Fib.5,2
Imm.Proliferative.0,MeV.Fib.4,7
Imm.Proliferative.0,MeV.FibProlif.0,3
Imm.Proliferative.0,MeV.Endothelial.3,6
Imm.Proliferative.0,MeV.FibCollagen.2,6
Imm.Proliferative.0,MeV.VLMC.1,9
Imm.Proliferative.0,MeV.FibLaminin.0,7
Imm.Proliferative.0,MeV.VLMC.0,4
Imm.Proliferative.0,MeV.Fib.3,3
Imm.Proliferative.0,MeV.FibUnknown.6,3
Imm.Proliferative.0,MeV.LowQuality.0,3
Imm.Proliferative.0,Imm.M0Like.0,6
Imm.Proliferative.0,MeV.Endothelial.1,2
Imm.Proliferative.0,MeV.Fib.2,5
Imm.Proliferative.0,MeV.FibCollagen.0,5
Imm.Proliferative.0,MeV.Fib.0,6
Imm.Proliferative.0,MeV.Fib.1,9
Imm.Proliferative.0,MeV.Endothelial.2,7
Imm.Proliferative.0,MeV.FibCollagen.3,5
Neu.CSFcN.0,Imm.M0Like.1,38
Neu.CSFcN.0,Imm.M0Like.2,38
Neu.CSFcN.0,Imm.DAM.0,34
Neu.CSFcN.0,Imm.MHCII.0,31
Neu.CSFcN.0,Imm.Interferon.0,41
Neu.CSFcN.0,MeV.ImmuneDoublets.0,59
Neu.CSFcN.0,Imm.PVM.0,51
Neu.CSFcN.0,Imm.DAM.1,35
Neu.CSFcN.0,Imm.Proliferative.0,20
Neu.CSFcN.0,Neu.CSFcN.0,42
Neu.CSFcN.0,Neu.Epend.0,59
Neu.CSFcN.0,MeV.Epithelial.0,52
Neu.CSFcN.0,MeV.Pericytes.0,52
Neu.CSFcN.0,MeV.Endothelial.0,36
Neu.CSFcN.0,MeV.SMC.0,36
Neu.CSFcN.0,MeV.FibCollagen.1,55
Neu.CSFcN.0,MeV.Fib.5,60
Neu.CSFcN.0,MeV.Fib.4,53
Neu.CSFcN.0,MeV.FibProlif.0,61
Neu.CSFcN.0,MeV.Endothelial.3,40
Neu.CSFcN.0,MeV.FibCollagen.2,45
Neu.CSFcN.0,MeV.VLMC.1,50
Neu.CSFcN.0,MeV.FibLaminin.0,55
Neu.CSFcN.0,MeV.VLMC.0,50
Neu.CSFcN.0,MeV.Fib.3,72
Neu.CSFcN.0,MeV.FibUnknown.6,73
Neu.CSFcN.0,MeV.LowQuality.0,54
Neu.CSFcN.0,Imm.M0Like.0,49
Neu.CSFcN.0,MeV.Endothelial.1,49
Neu.CSFcN.0,MeV.Fib.2,77
Neu.CSFcN.0,MeV.FibCollagen.0,62
Neu.CSFcN.0,MeV.Fib.0,80
Neu.CSFcN.0,MeV.Fib.1,65
Neu.CSFcN.0,MeV.Endothelial.2,38
Neu.CSFcN.0,MeV.FibCollagen.3,66
Neu.Epend.0,Imm.M0Like.1,31
Neu.Epend.0,Imm.M0Like.2,37
Neu.Epend.0,Imm.DAM.0,28
Neu.Epend.0,Imm.MHCII.0,26
Neu.Epend.0,Imm.Interferon.0,36
